Terminal log file
Date: 21.06.2022 - 11:11:39
-----------------------------------------------
-21,TRIDENT,37,18.08,4.11,31.37,30.76,-0.09,-0.87,0.17,0.89,12.18,4.17,-2.95,-69.57,51.28,-340.96,351.74,11.50,-11.30,190.16,100.40
-21,TRIDENT,38,18.53,4.11,31.34,30.77,-0.11,-0.95,0.23,0.98,-4.21,-32.05,7.54,-70.02,52.03,-339.01,350.06,11.57,-11.14,189.96,100.40
-22,TRIDENT,39,18.99,4.10,31.37,30.79,-0.18,-0.95,0.19,0.99,-14.26,-22.38,11.36,-69.42,54.13,-340.51,351.71,11.35,-10.75,190.54,100.40
-21,TRIDENT,40,19.45,4.11,31.37,30.79,-0.04,-0.94,0.21,0.96,19.18,1.57,-0.56,-70.92,51.43,-338.71,349.86,10.94,-12.04,190.20,100.40
-21,TRIDENT,41,19.91,4.11,31.37,30.81,-0.22,-1.01,0.20,1.05,57.28,43.59,33.68,-70.17,50.08,-343.66,354.31,11.51,-11.27,190.07,100.40
-22,TRIDENT,42,20.37,4.11,31.39,30.83,0.10,-0.79,0.13,0.81,-12.73,-35.91,-12.96,-71.37,46.18,-342.76,353.14,13.48,-10.58,190.28,100.40
-21,TRIDENT,43,20.83,4.11,31.39,30.85,-0.13,-0.77,-0.07,0.79,-28.60,11.80,-101.74,-69.27,47.38,-340.06,350.26,13.06,-12.64,189.38,100.40
-23,TRIDENT,44,21.28,4.11,31.39,30.85,-0.01,-1.00,0.11,1.01,-76.20,-35.33,-88.96,-67.47,51.88,-348.76,358.99,14.12,-13.13,186.22,100.40
-23,TRIDENT,45,21.74,4.11,31.39,30.86,-0.02,-0.96,-0.23,0.99,-32.37,1.28,-14.58,-75.42,45.13,-375.60,385.74,11.52,-14.15,182.88,100.40
-22,TRIDENT,46,22.20,4.11,31.42,30.88,0.15,-0.87,-0.29,0.93,-3.68,5.44,-8.85,-77.07,44.08,-375.45,385.80,10.40,-13.80,181.47,100.40
-22,TRIDENT,47,22.66,4.11,31.42,30.89,0.15,-1.01,-0.34,1.07,-10.14,-20.92,26.61,-77.67,47.08,-377.25,388.03,10.75,-13.37,181.00,100.40
-21,TRIDENT,48,23.12,4.11,31.42,30.91,0.04,-0.87,-0.16,0.89,38.81,-7.98,45.69,-75.27,47.68,-372.75,383.25,10.41,-13.47,182.31,100.40
